row,col,type
11650,10034,5
11650,14245,5
11650,14977,5
11650,15059,5
11650,15084,5
11650,15085,5
11650,15086,5
11650,15139,5
11650,15362,5
11650,15464,5
11650,11451,5
11652,7061,5
11652,11662,5
11652,7063,5
11652,7146,5
11652,7404,5
11652,7405,5
11652,11763,5
11652,7468,5
11652,11817,5
11652,12008,5
11652,12009,5
11652,12051,5
11652,7885,5
11652,12256,5
11652,8049,5
11652,8085,5
11652,8137,5
11652,12423,5
11652,8175,5
11652,12453,5
11652,12479,5
11652,12491,5
11652,12540,5
11652,12741,5
11652,8588,5
11652,8684,5
11652,12850,5
11652,8685,5
11652,12871,5
11652,12906,5
11652,13062,5
11652,9018,5
11652,13304,5
11652,9171,5
11652,9508,5
11652,13548,5
11652,13606,5
11652,9604,5
11652,9628,5
11652,9676,5
11652,13764,5
11652,9677,5
11652,13875,5
11652,9869,5
11652,13984,5
11652,14078,5
11652,10019,5
11652,14215,5
11652,14216,5
11652,10219,5
11652,10316,5
11652,10329,5
11652,14464,5
11652,14504,5
11652,14598,5
11652,14599,5
11652,10528,5
11652,10610,5
11652,14831,5
11652,14888,5
11652,14906,5
11652,14951,5
11652,14957,5
11652,14994,5
11652,11035,5
11652,15166,5
11652,11274,5
11652,15384,5
11652,11370,5
11652,15392,5
11652,15433,5
11652,15470,5
11652,15472,5
11652,11451,5
11652,11513,5
11653,8165,5
11653,13468,5
11653,14198,5
11653,14463,5
11653,14537,5
11653,14676,5
11653,10601,5
11653,14758,5
11653,10868,5
11653,14957,5
11653,11288,5
11655,11832,5
11655,11899,5
11655,11936,5
11655,11960,5
11655,11964,5
11655,12016,5
11655,12060,5
11655,12075,5
11655,7885,5
11655,7917,5
11655,12343,5
11655,12344,5
11655,12370,5
11655,8112,5
11655,12374,5
11655,12390,5
11655,12434,5
11655,12477,5
11655,12534,5
11655,12548,5
11655,12593,5
11655,8375,5
11655,12711,5
11655,12769,5
11655,12913,5
11655,12989,5
11655,13002,5
11655,13087,5
11655,13295,5
11655,13347,5
11655,13350,5
11655,13364,5
11655,13408,5
11655,9492,5
11655,13538,5
11655,13543,5
11655,13544,5
11655,13756,5
11655,13937,5
11655,13955,5
11655,13983,5
11655,14004,5
11655,14162,5
11655,10255,5
11655,10299,5
11655,14463,5
11655,14680,5
11655,10566,5
11655,14777,5
11655,14871,5
11655,14941,5
11655,14973,5
11655,14977,5
11655,14991,5
11655,15023,5
11655,15084,5
11655,15085,5
11655,15187,5
11655,15194,5
11655,11438,5
7056,11963,5
7056,11966,5
7056,12121,5
7056,8417,5
7056,13756,5
7056,10024,5
7056,14193,5
7056,10382,5
7056,15038,5
11656,7061,5
11656,12998,5
11656,13906,5
7061,11657,5
7061,11658,5
7061,11660,5
7061,7063,5
7061,11664,5
7061,11665,5
7061,7109,5
7061,7110,5
7061,11697,5
7061,11709,5
7061,11721,5
7061,11723,5
7061,7324,5
7061,11731,5
7061,7404,5
7061,7405,5
7061,11762,5
7061,11763,5
7061,11780,5
7061,11788,5
7061,11797,5
7061,7454,5
7061,7455,5
7061,7458,5
7061,11816,5
7061,7468,5
7061,11817,5
7061,11818,5
7061,11820,5
7061,11827,5
7061,11835,5
7061,11866,5
7061,11868,5
7061,11899,5
7061,7551,5
7061,11914,5
7061,11924,5
7061,11965,5
7061,11966,5
7061,11975,5
7061,7704,5
7061,12016,5
7061,7718,5
7061,7719,5
7061,12020,5
7061,7728,5
7061,12027,5
7061,12040,5
7061,7742,5
7061,12051,5
7061,12073,5
7061,12075,5
7061,12083,5
7061,12086,5
7061,12089,5
7061,12099,5
7061,12113,5
7061,12123,5
7061,12125,5
7061,7815,5
7061,12134,5
7061,12138,5
7061,12145,5
7061,12155,5
7061,12190,5
7061,7890,5
7061,12197,5
7061,7938,5
7061,7944,5
7061,7976,5
7061,12284,5
7061,8013,5
7061,12322,5
7061,8024,5
7061,12339,5
7061,12369,5
7061,12370,5
7061,8112,5
7061,12372,5
7061,12373,5
7061,12390,5
7061,12404,5
7061,8137,5
7061,12413,5
7061,12432,5
7061,12446,5
7061,12459,5
7061,12485,5
7061,12486,5
7061,12490,5
7061,8291,5
7061,12548,5
7061,8339,5
7061,12568,5
7061,12599,5
7061,8364,5
7061,8375,5
7061,8377,5
7061,8383,5
7061,8392,5
7061,12618,5
7061,8396,5
7061,12622,5
7061,8404,5
7061,8417,5
7061,8418,5
7061,8506,5
7061,8516,5
7061,12727,5
7061,8546,5
7061,8547,5
7061,8548,5
7061,8549,5
7061,12741,5
7061,12767,5
7061,12769,5
7061,12791,5
7061,8682,5
7061,8684,5
7061,12850,5
7061,12900,5
7061,12915,5
7061,8769,5
7061,8797,5
7061,8811,5
7061,12990,5
7061,8837,5
7061,13018,5
7061,8926,5
7061,13092,5
7061,13109,5
7061,8972,5
7061,13244,5
7061,9029,5
7061,13295,5
7061,13296,5
7061,13347,5
7061,9127,5
7061,13366,5
7061,13408,5
7061,13420,5
7061,13423,5
7061,9222,5
7061,13432,5
7061,13442,5
7061,13446,5
7061,9381,5
7061,9393,5
7061,13455,5
7061,9420,5
7061,13496,5
7061,13527,5
7061,13548,5
7061,9536,5
7061,13580,5
7061,13582,5
7061,9604,5
7061,13649,5
7061,9621,5
7061,13730,5
7061,9635,5
7061,9640,5
7061,13747,5
7061,13756,5
7061,9668,5
7061,9676,5
7061,13764,5
7061,9677,5
7061,9678,5
7061,9682,5
7061,9684,5
7061,13777,5
7061,9718,5
7061,13792,5
7061,9726,5
7061,9735,5
7061,13843,5
7061,9764,5
7061,13865,5
7061,13902,5
7061,13908,5
7061,13937,5
7061,14015,5
7061,14016,5
7061,14029,5
7061,9942,5
7061,9944,5
7061,14040,5
7061,14052,5
7061,14054,5
7061,14071,5
7061,14102,5
7061,10029,5
7061,14132,5
7061,14135,5
7061,14162,5
7061,14202,5
7061,10137,5
7061,14215,5
7061,14216,5
7061,14248,5
7061,14252,5
7061,14285,5
7061,14349,5
7061,10255,5
7061,14380,5
7061,14408,5
